id,nome,tipo_lixo,latitude,longitude,endereco
218,Universidade de Brasília - Campus Ceilândia,pilhas,-15.843776284147626,-48.10162762209126,Ceilândia Sul Campus Universitário - Centro Metropolitano
219,Universidade de Brasília - Campus Planaltina,pilhas,-15.600761160111073,-47.657919564418265,Vila NS de Fátima - Vila Nossa Sra. de Fátima
220,Centro Universitário Unieuro - Campus Águas Claras,pilhas,-15.831565266050589,-48.03695262023571,Av. das Castanheiras s/n - Lote 3700 - Águas Claras
221,Drogaria Pacheco Asa Sul,pilhas,-15.814838909406285,-47.90273446441825,Asa Sul CLS 107 - Asa Sul
222,Drogaria Pacheco 112 Sul,pilhas,-15.823060320317587,-47.91339750488969,Asa Sul CLS 111 - Asa Sul
223,Drogaria Pacheco 302 Sul,pilhas,-15.800858414286044,-47.890781606745236,Q CLS 302 BLOCO A loja 33 E 37 Sloja 34 SHCS
224,Drogaria Pacheco 304 Sul,pilhas,-15.807726230759712,-47.89646572209127,SHCS CLS 304 Loja 04 BL Q Bloco A - Plano Piloto
225,Drogaria Pacheco 407 Sul,pilhas,-15.81896352489282,-47.8952410202357,19 SHCS CLS 407 D Brasília
226,Drogaria Pacheco 413 Sul,pilhas,-15.830993052734746,-47.9114943048897,Bloco D SHCS CLS 413 - Asa Sul
227,Drogaria Pacheco Aguas Claras,pilhas,-15.842707003845938,-48.02191736256271,Q 205 02 LJS 14 E 15 S/N - Águas Claras
228,Drogaria Pacheco Aguas Claras,pilhas,-15.835142079706364,-48.01904057790874,Q. 104 - Águas Claras
229,Drogaria Pacheco Aguas Claras,pilhas,-15.839294998962636,-48.01879537790873,EDIF REAL QUA Avenida das Araucárias 1325 loja 08 E 09 Av. das Araucárias LOTE 1325 - loja 08 E 09 - Águas Claras
230,Drogaria Pacheco Aguas Claras,pilhas,-15.840480222056744,-48.02290929139921,R. 19 Sul 16 - LJ 5 - SUL
231,Drogaria Pacheco 113 Norte,pilhas,-15.746347866329733,-47.89145344907223,0 SHCN CLN 113 - Asa Norte
232,Drogaria Pacheco Asa Norte,pilhas,-15.750676220539967,-47.884611735581736,Asa Norte SCLN - Asa Norte
233,Drogaria Pacheco Asa Norte,pilhas,-15.77420275555594,-47.886657649072234,Asa Norte CLN 305 BL E SALA 218 - Asa Norte
234,Drogaria Pacheco Asa Norte,pilhas,-15.762365314512966,-47.889700404889695,Q CLN 309 BLOCO E loja01 loja02 loja11 loja12 SL103 SUBSL loja16 - Asa Norte
235,Drogaria Pacheco Asa Norte,pilhas,-15.743446867576807,-47.8946165337262,Q CLN 315 BLOCO B 54 loja 12 16 20 30 E 34
236,Drogaria Pacheco Asa Norte,pilhas,-15.779849814048365,-47.87554143558174,Q CLN 402 BLOCO D SN - PARTE AASA
